day	app	value
23_03/09/2020	Skype	0
23_03/09/2020	Sublime Text	0
23_03/09/2020	WhatsApp	0
23_03/09/2020	iMovie	0
23_03/09/2020	zoom.us	0
24_03/10/2020	Adobe Illustrator CC 2018	0
24_03/10/2020	FaceTime	0
24_03/10/2020	Firefox	0
24_03/10/2020	Google Chrome	0
24_03/10/2020	InDesign CC	0
24_03/10/2020	Keynote	0
24_03/10/2020	Lightroom	0
24_03/10/2020	Mail	0
24_03/10/2020	Microsoft PowerPoint	0
24_03/10/2020	Microsoft Teams	0
24_03/10/2020	Pages	0
24_03/10/2020	Photoshop CC	31
24_03/10/2020	Safari	0
24_03/10/2020	Skype	0
24_03/10/2020	Sublime Text	0
24_03/10/2020	WhatsApp	0
24_03/10/2020	iMovie	0
24_03/10/2020	zoom.us	0
25_03/11/2020	Adobe Illustrator CC 2018	0
25_03/11/2020	FaceTime	0
25_03/11/2020	Firefox	0
25_03/11/2020	Google Chrome	0
25_03/11/2020	InDesign CC	0
25_03/11/2020	Keynote	0
25_03/11/2020	Lightroom	1
25_03/11/2020	Mail	0
25_03/11/2020	Microsoft PowerPoint	0
25_03/11/2020	Microsoft Teams	0
25_03/11/2020	Pages	0
25_03/11/2020	Photoshop CC	260
25_03/11/2020	Safari	42
25_03/11/2020	Skype	0
25_03/11/2020	Sublime Text	0
25_03/11/2020	WhatsApp	10
25_03/11/2020	iMovie	0
25_03/11/2020	zoom.us	0
26_03/12/2020	Adobe Illustrator CC 2018	0
26_03/12/2020	FaceTime	0
26_03/12/2020	Firefox	0
26_03/12/2020	Google Chrome	0
26_03/12/2020	InDesign CC	0
26_03/12/2020	Keynote	0
26_03/12/2020	Lightroom	0
26_03/12/2020	Mail	0
26_03/12/2020	Microsoft PowerPoint	0
26_03/12/2020	Microsoft Teams	0
26_03/12/2020	Pages	0
26_03/12/2020	Photoshop CC	182
26_03/12/2020	Safari	184
26_03/12/2020	Skype	0
26_03/12/2020	Sublime Text	0
26_03/12/2020	WhatsApp	0
26_03/12/2020	iMovie	0
26_03/12/2020	zoom.us	0
27_03/13/2020	Adobe Illustrator CC 2018	0
27_03/13/2020	FaceTime	0
27_03/13/2020	Firefox	0
27_03/13/2020	Google Chrome	0
27_03/13/2020	InDesign CC	0
27_03/13/2020	Keynote	0
27_03/13/2020	Lightroom	0
27_03/13/2020	Mail	0
27_03/13/2020	Microsoft PowerPoint	0
27_03/13/2020	Microsoft Teams	0
27_03/13/2020	Pages	0
27_03/13/2020	Photoshop CC	13
27_03/13/2020	Safari	0
27_03/13/2020	Skype	0
27_03/13/2020	Sublime Text	0
27_03/13/2020	WhatsApp	0
27_03/13/2020	iMovie	0
27_03/13/2020	zoom.us	0
28_03/15/2020	Adobe Illustrator CC 2018	0
28_03/15/2020	FaceTime	0
28_03/15/2020	Firefox	0
28_03/15/2020	Google Chrome	0
28_03/15/2020	InDesign CC	0
28_03/15/2020	Keynote	0
28_03/15/2020	Lightroom	0
28_03/15/2020	Mail	0
28_03/15/2020	Microsoft PowerPoint	0
28_03/15/2020	Microsoft Teams	0
28_03/15/2020	Pages	0
28_03/15/2020	Photoshop CC	0
28_03/15/2020	Safari	215
28_03/15/2020	Skype	0
28_03/15/2020	Sublime Text	0
28_03/15/2020	WhatsApp	0
28_03/15/2020	iMovie	0
28_03/15/2020	zoom.us	0
29_03/16/2020	Adobe Illustrator CC 2018	0
29_03/16/2020	FaceTime	0
29_03/16/2020	Firefox	0
29_03/16/2020	Google Chrome	14
29_03/16/2020	InDesign CC	0
29_03/16/2020	Keynote	0
29_03/16/2020	Lightroom	0
29_03/16/2020	Mail	0
29_03/16/2020	Microsoft PowerPoint	0
29_03/16/2020	Microsoft Teams	0
29_03/16/2020	Pages	0
29_03/16/2020	Photoshop CC	15
29_03/16/2020	Safari	22
29_03/16/2020	Skype	0
29_03/16/2020	Sublime Text	0
29_03/16/2020	WhatsApp	0
29_03/16/2020	iMovie	0
29_03/16/2020	zoom.us	0
30_03/17/2020	Adobe Illustrator CC 2018	0
30_03/17/2020	FaceTime	0
30_03/17/2020	Firefox	0
30_03/17/2020	Google Chrome	0
30_03/17/2020	InDesign CC	0
30_03/17/2020	Keynote	0
30_03/17/2020	Lightroom	0
30_03/17/2020	Mail	0
30_03/17/2020	Microsoft PowerPoint	0
30_03/17/2020	Microsoft Teams	0
30_03/17/2020	Pages	0
30_03/17/2020	Photoshop CC	0
30_03/17/2020	Safari	20
30_03/17/2020	Skype	0
30_03/17/2020	Sublime Text	0
30_03/17/2020	WhatsApp	0
30_03/17/2020	iMovie	0
30_03/17/2020	zoom.us	0
31_03/19/2020	Adobe Illustrator CC 2018	0
31_03/19/2020	FaceTime	0
31_03/19/2020	Firefox	0
31_03/19/2020	Google Chrome	0
31_03/19/2020	InDesign CC	0
31_03/19/2020	Keynote	0
31_03/19/2020	Lightroom	0
31_03/19/2020	Mail	0
31_03/19/2020	Microsoft PowerPoint	0
31_03/19/2020	Microsoft Teams	0
31_03/19/2020	Pages	0
31_03/19/2020	Photoshop CC	0
31_03/19/2020	Safari	22
31_03/19/2020	Skype	0
31_03/19/2020	Sublime Text	0
31_03/19/2020	WhatsApp	0
31_03/19/2020	iMovie	0
31_03/19/2020	zoom.us	0
32_03/20/2020	Adobe Illustrator CC 2018	0
32_03/20/2020	FaceTime	0
32_03/20/2020	Firefox	0
32_03/20/2020	Google Chrome	3
32_03/20/2020	InDesign CC	0
32_03/20/2020	Keynote	0
32_03/20/2020	Lightroom	35
32_03/20/2020	Mail	0
32_03/20/2020	Microsoft PowerPoint	0
32_03/20/2020	Microsoft Teams	0
32_03/20/2020	Pages	0
32_03/20/2020	Photoshop CC	150
32_03/20/2020	Safari	32
32_03/20/2020	Skype	0
32_03/20/2020	Sublime Text	0
32_03/20/2020	WhatsApp	0
32_03/20/2020	iMovie	0
32_03/20/2020	zoom.us	0
33_03/21/2020	Adobe Illustrator CC 2018	0
33_03/21/2020	FaceTime	0
33_03/21/2020	Firefox	0
33_03/21/2020	Google Chrome	0
33_03/21/2020	InDesign CC	0
