day	app	value
34_03/28/2020	02_InDesign	0
34_03/28/2020	03_Finder	7
34_03/28/2020	04_Sublime Text	0
34_03/28/2020	05_Skype	0
34_03/28/2020	06_Microsoft Word	15
34_03/28/2020	07_Microsoft Teams	0
34_03/28/2020	08_WhatsApp	0
34_03/28/2020	09_Adobe Premiere Pro 2020	0
34_03/28/2020	10_zoom.us	0
34_03/28/2020	11_Photoshop	0
34_03/28/2020	12_Adobe After Effects	0
34_03/28/2020	13_Sparkle	0
34_03/28/2020	14_Mail	17
34_03/28/2020	15_Acrobat Pro DC	1
34_03/28/2020	16_Adobe Illustrator 2020	0
34_03/28/2020	17_QuickTime Player	0
35_03/29/2020	01_Safari	66
35_03/29/2020	02_InDesign	0
35_03/29/2020	03_Finder	16
35_03/29/2020	04_Sublime Text	56
35_03/29/2020	05_Skype	0
35_03/29/2020	06_Microsoft Word	0
35_03/29/2020	07_Microsoft Teams	9
35_03/29/2020	08_WhatsApp	0
35_03/29/2020	09_Adobe Premiere Pro 2020	0
35_03/29/2020	10_zoom.us	0
35_03/29/2020	11_Photoshop	0
35_03/29/2020	12_Adobe After Effects	0
35_03/29/2020	13_Sparkle	0
35_03/29/2020	14_Mail	2
35_03/29/2020	15_Acrobat Pro DC	0
35_03/29/2020	16_Adobe Illustrator 2020	0
35_03/29/2020	17_QuickTime Player	0
36_03/30/2020	01_Safari	74
36_03/30/2020	02_InDesign	0
36_03/30/2020	03_Finder	28
36_03/30/2020	04_Sublime Text	0
36_03/30/2020	05_Skype	0
36_03/30/2020	06_Microsoft Word	153
36_03/30/2020	07_Microsoft Teams	156
36_03/30/2020	08_WhatsApp	0
36_03/30/2020	09_Adobe Premiere Pro 2020	0
36_03/30/2020	10_zoom.us	0
36_03/30/2020	11_Photoshop	0
36_03/30/2020	12_Adobe After Effects	0
36_03/30/2020	13_Sparkle	0
36_03/30/2020	14_Mail	2
36_03/30/2020	15_Acrobat Pro DC	1
36_03/30/2020	16_Adobe Illustrator 2020	0
36_03/30/2020	17_QuickTime Player	0
37_03/31/2020	01_Safari	67
37_03/31/2020	02_InDesign	0
37_03/31/2020	03_Finder	56
37_03/31/2020	04_Sublime Text	0
37_03/31/2020	05_Skype	63
37_03/31/2020	06_Microsoft Word	10
37_03/31/2020	07_Microsoft Teams	0
37_03/31/2020	08_WhatsApp	0
37_03/31/2020	09_Adobe Premiere Pro 2020	196
37_03/31/2020	10_zoom.us	0
37_03/31/2020	11_Photoshop	0
37_03/31/2020	12_Adobe After Effects	0
37_03/31/2020	13_Sparkle	0
37_03/31/2020	14_Mail	4
37_03/31/2020	15_Acrobat Pro DC	0
37_03/31/2020	16_Adobe Illustrator 2020	0
37_03/31/2020	17_QuickTime Player	1
38_04/01/2020	01_Safari	346
38_04/01/2020	02_InDesign	0
38_04/01/2020	03_Finder	36
38_04/01/2020	04_Sublime Text	207
38_04/01/2020	05_Skype	0
38_04/01/2020	06_Microsoft Word	1
38_04/01/2020	07_Microsoft Teams	0
38_04/01/2020	08_WhatsApp	3
38_04/01/2020	09_Adobe Premiere Pro 2020	4
38_04/01/2020	10_zoom.us	0
38_04/01/2020	11_Photoshop	4
38_04/01/2020	12_Adobe After Effects	0
38_04/01/2020	13_Sparkle	0
38_04/01/2020	14_Mail	10
38_04/01/2020	15_Acrobat Pro DC	0
38_04/01/2020	16_Adobe Illustrator 2020	0
38_04/01/2020	17_QuickTime Player	0
39_04/02/2020	01_Safari	569
39_04/02/2020	02_InDesign	48
39_04/02/2020	03_Finder	23
39_04/02/2020	04_Sublime Text	108
39_04/02/2020	05_Skype	0
39_04/02/2020	06_Microsoft Word	26
39_04/02/2020	07_Microsoft Teams	0
39_04/02/2020	08_WhatsApp	0
39_04/02/2020	09_Adobe Premiere Pro 2020	0
39_04/02/2020	10_zoom.us	0
39_04/02/2020	11_Photoshop	5
39_04/02/2020	12_Adobe After Effects	0
39_04/02/2020	13_Sparkle	0
39_04/02/2020	14_Mail	3
39_04/02/2020	15_Acrobat Pro DC	2
39_04/02/2020	16_Adobe Illustrator 2020	0
39_04/02/2020	17_QuickTime Player	0
40_04/03/2020	01_Safari	80
40_04/03/2020	02_InDesign	167
40_04/03/2020	03_Finder	55
40_04/03/2020	04_Sublime Text	3
40_04/03/2020	05_Skype	39
40_04/03/2020	06_Microsoft Word	0
40_04/03/2020	07_Microsoft Teams	0
40_04/03/2020	08_WhatsApp	0
40_04/03/2020	09_Adobe Premiere Pro 2020	0
40_04/03/2020	10_zoom.us	0
40_04/03/2020	11_Photoshop	0
40_04/03/2020	12_Adobe After Effects	0
40_04/03/2020	13_Sparkle	0
40_04/03/2020	14_Mail	21
40_04/03/2020	15_Acrobat Pro DC	47
40_04/03/2020	16_Adobe Illustrator 2020	0
40_04/03/2020	17_QuickTime Player	0
41_04/04/2020	01_Safari	77
41_04/04/2020	02_InDesign	212
41_04/04/2020	03_Finder	19
41_04/04/2020	04_Sublime Text	0
41_04/04/2020	05_Skype	0
41_04/04/2020	06_Microsoft Word	9
41_04/04/2020	07_Microsoft Teams	0
41_04/04/2020	08_WhatsApp	0
41_04/04/2020	09_Adobe Premiere Pro 2020	0
41_04/04/2020	10_zoom.us	0
41_04/04/2020	11_Photoshop	3
41_04/04/2020	12_Adobe After Effects	0
41_04/04/2020	13_Sparkle	0
41_04/04/2020	14_Mail	9
41_04/04/2020	15_Acrobat Pro DC	0
41_04/04/2020	16_Adobe Illustrator 2020	0
41_04/04/2020	17_QuickTime Player	0
42_04/05/2020	01_Safari	18
42_04/05/2020	02_InDesign	138
42_04/05/2020	03_Finder	91
42_04/05/2020	04_Sublime Text	0
42_04/05/2020	05_Skype	12
42_04/05/2020	06_Microsoft Word	46
42_04/05/2020	07_Microsoft Teams	0
42_04/05/2020	08_WhatsApp	36
42_04/05/2020	09_Adobe Premiere Pro 2020	0
42_04/05/2020	10_zoom.us	0
42_04/05/2020	11_Photoshop	1
42_04/05/2020	12_Adobe After Effects	0
42_04/05/2020	13_Sparkle	0
42_04/05/2020	14_Mail	0
42_04/05/2020	15_Acrobat Pro DC	8
42_04/05/2020	16_Adobe Illustrator 2020	0
42_04/05/2020	17_QuickTime Player	0
43_04/06/2020	01_Safari	163
43_04/06/2020	02_InDesign	32
43_04/06/2020	03_Finder	12
43_04/06/2020	04_Sublime Text	85
43_04/06/2020	05_Skype	5
43_04/06/2020	06_Microsoft Word	5
43_04/06/2020	07_Microsoft Teams	19
43_04/06/2020	08_WhatsApp	36
43_04/06/2020	09_Adobe Premiere Pro 2020	0
43_04/06/2020	10_zoom.us	0
43_04/06/2020	11_Photoshop	1
43_04/06/2020	12_Adobe After Effects	0
43_04/06/2020	13_Sparkle	0
43_04/06/2020	14_Mail	0
43_04/06/2020	15_Acrobat Pro DC	0
43_04/06/2020	16_Adobe Illustrator 2020	0
43_04/06/2020	17_QuickTime Player	0
44_04/07/2020	01_Safari	44
44_04/07/2020	02_InDesign	0
44_04/07/2020	03_Finder	31
44_04/07/2020	04_Sublime Text	93
44_04/07/2020	05_Skype	0
44_04/07/2020	06_Microsoft Word	7
44_04/07/2020	07_Microsoft Teams	0
44_04/07/2020	08_WhatsApp	3
44_04/07/2020	09_Adobe Premiere Pro 2020	0
44_04/07/2020	10_zoom.us	107
44_04/07/2020	11_Photoshop	0
44_04/07/2020	12_Adobe After Effects	0
44_04/07/2020	13_Sparkle	0
44_04/07/2020	14_Mail	3
44_04/07/2020	15_Acrobat Pro DC	10
44_04/07/2020	16_Adobe Illustrator 2020	0
44_04/07/2020	17_QuickTime Player	0
45_04/08/2020	01_Safari	87
45_04/08/2020	02_InDesign	49
45_04/08/2020	03_Finder	28
45_04/08/2020	04_Sublime Text	1
45_04/08/2020	05_Skype	138
45_04/08/2020	06_Microsoft Word	0
45_04/08/2020	07_Microsoft Teams	0
45_04/08/2020	08_WhatsApp	3
45_04/08/2020	09_Adobe Premiere Pro 2020	0
