day	app	value
22_03/08/2020	Adobe Premiere Pro CC 2019	0
22_03/08/2020	Anteprima	0
22_03/08/2020	Finder	2
22_03/08/2020	Foto	1
22_03/08/2020	Google Chrome	0
22_03/08/2020	InDesign	0
22_03/08/2020	Photoshop CC	0
22_03/08/2020	QuickTime Player	3
22_03/08/2020	Safari	22
22_03/08/2020	Skype	0
22_03/08/2020	Sublime Text	1
22_03/08/2020	Telegram	1
22_03/08/2020	TextEdit	0
22_03/08/2020	WhatsApp	0
23_03/09/2020	Adobe After Effects CC 2019 (16.1.1)	0
23_03/09/2020	Adobe Illustrator 2019	8
23_03/09/2020	Adobe Premiere Pro CC 2019	0
23_03/09/2020	Anteprima	45
23_03/09/2020	Finder	20
23_03/09/2020	Foto	7
23_03/09/2020	Google Chrome	0
23_03/09/2020	InDesign	0
23_03/09/2020	Photoshop CC	0
23_03/09/2020	QuickTime Player	0
23_03/09/2020	Safari	5
23_03/09/2020	Skype	0
23_03/09/2020	Sublime Text	0
23_03/09/2020	Telegram	0
23_03/09/2020	TextEdit	0
23_03/09/2020	WhatsApp	0
24_03/10/2020	Adobe After Effects CC 2019 (16.1.1)	0
24_03/10/2020	Adobe Illustrator 2019	0
24_03/10/2020	Adobe Premiere Pro CC 2019	0
24_03/10/2020	Anteprima	3
24_03/10/2020	Finder	61
24_03/10/2020	Foto	187
24_03/10/2020	Google Chrome	0
24_03/10/2020	InDesign	0
24_03/10/2020	Photoshop CC	0
24_03/10/2020	QuickTime Player	0
24_03/10/2020	Safari	15
24_03/10/2020	Skype	0
24_03/10/2020	Sublime Text	0
24_03/10/2020	Telegram	0
24_03/10/2020	TextEdit	0
24_03/10/2020	WhatsApp	0
25_03/11/2020	Adobe After Effects CC 2019 (16.1.1)	0
25_03/11/2020	Adobe Illustrator 2019	305
25_03/11/2020	Adobe Premiere Pro CC 2019	0
25_03/11/2020	Anteprima	5
25_03/11/2020	Finder	52
25_03/11/2020	Foto	6
25_03/11/2020	Google Chrome	0
25_03/11/2020	InDesign	0
25_03/11/2020	Photoshop CC	0
25_03/11/2020	QuickTime Player	59
25_03/11/2020	Safari	227
25_03/11/2020	Skype	0
25_03/11/2020	Sublime Text	0
25_03/11/2020	Telegram	1
25_03/11/2020	TextEdit	0
25_03/11/2020	WhatsApp	0
26_03/12/2020	Adobe After Effects CC 2019 (16.1.1)	0
26_03/12/2020	Adobe Illustrator 2019	71
26_03/12/2020	Adobe Premiere Pro CC 2019	0
26_03/12/2020	Anteprima	0
26_03/12/2020	Finder	3
26_03/12/2020	Foto	0
26_03/12/2020	Google Chrome	2
26_03/12/2020	InDesign	0
26_03/12/2020	Photoshop CC	0
26_03/12/2020	QuickTime Player	98
26_03/12/2020	Safari	43
26_03/12/2020	Skype	0
26_03/12/2020	Sublime Text	0
26_03/12/2020	Telegram	2
26_03/12/2020	TextEdit	0
26_03/12/2020	WhatsApp	0
27_03/13/2020	Adobe After Effects CC 2019 (16.1.1)	0
27_03/13/2020	Adobe Illustrator 2019	7
27_03/13/2020	Adobe Premiere Pro CC 2019	0
27_03/13/2020	Anteprima	40
27_03/13/2020	Finder	47
27_03/13/2020	Foto	0
27_03/13/2020	Google Chrome	0
27_03/13/2020	InDesign	0
27_03/13/2020	Photoshop CC	0
27_03/13/2020	QuickTime Player	108
27_03/13/2020	Safari	37
27_03/13/2020	Skype	0
27_03/13/2020	Sublime Text	0
27_03/13/2020	Telegram	0
27_03/13/2020	TextEdit	0
27_03/13/2020	WhatsApp	8
28_03/14/2020	Adobe After Effects CC 2019 (16.1.1)	0
28_03/14/2020	Adobe Illustrator 2019	79
28_03/14/2020	Adobe Premiere Pro CC 2019	0
28_03/14/2020	Anteprima	4
28_03/14/2020	Finder	14
28_03/14/2020	Foto	22
28_03/14/2020	Google Chrome	6
28_03/14/2020	InDesign	27
28_03/14/2020	Photoshop CC	0
28_03/14/2020	QuickTime Player	9
28_03/14/2020	Safari	164
28_03/14/2020	Skype	0
28_03/14/2020	Sublime Text	0
28_03/14/2020	Telegram	1
28_03/14/2020	TextEdit	0
28_03/14/2020	WhatsApp	0
29_03/15/2020	Adobe After Effects CC 2019 (16.1.1)	0
29_03/15/2020	Adobe Illustrator 2019	187
29_03/15/2020	Adobe Premiere Pro CC 2019	0
29_03/15/2020	Anteprima	0
29_03/15/2020	Finder	0
29_03/15/2020	Foto	0
29_03/15/2020	Google Chrome	0
29_03/15/2020	InDesign	2
29_03/15/2020	Photoshop CC	0
29_03/15/2020	QuickTime Player	106
29_03/15/2020	Safari	133
29_03/15/2020	Skype	0
29_03/15/2020	Sublime Text	0
29_03/15/2020	Telegram	4
29_03/15/2020	TextEdit	0
29_03/15/2020	WhatsApp	2
30_03/16/2020	Adobe After Effects CC 2019 (16.1.1)	0
30_03/16/2020	Adobe Illustrator 2019	52
30_03/16/2020	Adobe Premiere Pro CC 2019	0
30_03/16/2020	Anteprima	0
30_03/16/2020	Finder	46
30_03/16/2020	Foto	0
30_03/16/2020	Google Chrome	5
30_03/16/2020	InDesign	4
30_03/16/2020	Photoshop CC	0
30_03/16/2020	QuickTime Player	304
30_03/16/2020	Safari	144
30_03/16/2020	Skype	0
30_03/16/2020	Sublime Text	0
30_03/16/2020	Telegram	57
30_03/16/2020	TextEdit	0
30_03/16/2020	WhatsApp	29
31_03/17/2020	Adobe After Effects CC 2019 (16.1.1)	0
31_03/17/2020	Adobe Illustrator 2019	0
31_03/17/2020	Adobe Premiere Pro CC 2019	0
31_03/17/2020	Anteprima	11
31_03/17/2020	Finder	63
31_03/17/2020	Foto	7
31_03/17/2020	Google Chrome	0
31_03/17/2020	InDesign	0
31_03/17/2020	Photoshop CC	0
31_03/17/2020	QuickTime Player	40
31_03/17/2020	Safari	147
31_03/17/2020	Skype	2
31_03/17/2020	Sublime Text	0
31_03/17/2020	Telegram	8
31_03/17/2020	TextEdit	0
31_03/17/2020	WhatsApp	16
32_03/18/2020	Adobe After Effects CC 2019 (16.1.1)	0
32_03/18/2020	Adobe Illustrator 2019	0
32_03/18/2020	Adobe Premiere Pro CC 2019	0
32_03/18/2020	Anteprima	10
32_03/18/2020	Finder	20
32_03/18/2020	Foto	0
32_03/18/2020	Google Chrome	7
32_03/18/2020	InDesign	0
32_03/18/2020	Photoshop CC	0
32_03/18/2020	QuickTime Player	106
32_03/18/2020	Safari	151
32_03/18/2020	Skype	0
32_03/18/2020	Sublime Text	0
32_03/18/2020	Telegram	5
32_03/18/2020	TextEdit	0
32_03/18/2020	WhatsApp	1
33_03/19/2020	Adobe After Effects CC 2019 (16.1.1)	0
33_03/19/2020	Adobe Illustrator 2019	0
33_03/19/2020	Adobe Premiere Pro CC 2019	0
33_03/19/2020	Anteprima	1
33_03/19/2020	Finder	139
33_03/19/2020	Foto	0
33_03/19/2020	Google Chrome	0
33_03/19/2020	InDesign	0
33_03/19/2020	Photoshop CC	66
33_03/19/2020	QuickTime Player	102
33_03/19/2020	Safari	86
33_03/19/2020	Skype	0
33_03/19/2020	Sublime Text	0
33_03/19/2020	Telegram	17
33_03/19/2020	TextEdit	0
33_03/19/2020	WhatsApp	1
34_03/20/2020	Adobe After Effects CC 2019 (16.1.1)	0
34_03/20/2020	Adobe Illustrator 2019	58
34_03/20/2020	Adobe Premiere Pro CC 2019	0
