time	type	activeApp	leftMouseDown	leftMouseUp	rightMouseDown	rightMouseUp	mouseMoved	leftMouseDragged	rightMouseDragged	keyDown	keyUp	flagsChanged	scrollWheel
1583187042.457711	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187072.539785	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187081.543381	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187085.115994	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583187107.501694	appActivated	Lightroom Classic	3	3	0	0	482	1	0	0	0	0	0
1583187109.647898	appActivated	Photoshop	1	1	0	0	49	0	0	0	0	0	0
1583187113.468854	appActivated	Lightroom Classic	1	1	0	0	87	1	0	0	0	0	0
1583187501.079555	willSleep	Lightroom Classic	1	1	0	0	470	0	0	0	0	0	0
1583187501.094201	screenDidSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187502.799350	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187516.047897	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187516.974048	didWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187516.977772	screenDidWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187718.944843	willSleep	Lightroom Classic	2	2	0	0	176	0	0	0	0	0	0
1583187718.953363	screenDidSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583187720.647182	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187844.918777	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187845.422207	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583187845.827902	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583188086.815475	appActivated	Photoshop	48	47	0	0	3714	373	0	9	9	4	616
1583188089.464195	appActivated	Finder	1	2	0	0	110	1	0	0	0	0	0
1583188345.176050	willSleep	Finder	16	16	2	2	1093	312	0	0	0	0	4
1583188345.188753	screenDidSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583188347.009117	appActivated	loginwindow	0	0	0	0	12	0	0	0	0	0	0
1583188347.070221	appActivated	Finder	0	0	0	0	0	0	0	0	0	0	0
1583188347.551245	didWake	Finder	0	0	0	0	0	0	0	0	0	0	0
1583188348.435758	screenDidWake	Finder	0	0	0	0	0	0	0	0	0	0	0
1583188413.105430	appActivated	Lightroom Classic	3	3	0	0	167	2	0	0	0	0	0
1583188511.232655	appActivated	Finder	4	4	0	0	473	0	0	0	0	0	0
1583189011.600230	appActivated	Lightroom Classic	7	6	2	2	697	65	0	0	0	0	2
1583189241.229875	appActivated	Finder	33	34	0	0	2338	5	0	11	11	0	0
1583189330.361021	appActivated	Lightroom Classic	7	6	1	1	670	75	0	0	0	0	0
1583190511.177452	appActivated	Finder	238	239	0	0	23308	9790	0	46	46	86	2407
1583190636.513896	willSleep	Finder	12	12	1	1	990	118	0	18	18	8	0
1583190636.530867	screenDidSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583190638.379949	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583224686.824679	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583224691.283237	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583224711.696292	appActivated	Finder	0	0	0	0	0	0	0	0	0	0	0
1583224715.449881	appActivated	Lightroom Classic	1	0	0	0	250	0	0	0	0	0	0
1583225439.615261	appActivated	Finder	44	45	0	0	5343	599	0	16	16	2	2
1583225544.772924	appActivated	Lightroom Classic	13	12	1	1	1070	106	0	0	0	2	4
1583225559.575058	appActivated	Finder	6	7	0	0	655	2	0	0	0	2	0
1583225787.675461	appActivated	Lightroom Classic	23	22	3	3	2971	171	0	18	18	2	110
1583225807.884718	appActivated	Finder	6	7	0	0	895	23	0	0	0	0	254
1583225870.142251	appActivated	Lightroom Classic	9	8	1	1	534	3	0	18	18	2	2
1583225898.809930	appActivated	Photoshop	1	2	1	1	450	0	0	1	1	2	2
1583225905.334998	appActivated	Lightroom Classic	3	3	0	0	399	1	0	0	0	0	0
1583225918.262343	appActivated	Photoshop	2	2	1	1	479	0	0	0	0	0	2
1583226015.090439	appActivated	Lightroom Classic	19	19	0	0	2423	354	0	2	2	6	118
1583226039.955027	appActivated	Photoshop	6	6	0	0	732	0	0	0	0	0	78
1583226042.891476	appActivated	Finder	1	1	0	0	150	0	0	0	0	0	0
1583226045.216163	appActivated	Photoshop	2	2	0	0	93	0	0	0	0	0	0
1583226080.973210	appActivated	Lightroom Classic	1	1	0	0	345	1	0	0	0	0	0
1583226094.953743	appActivated	Photoshop	4	4	0	0	422	0	0	1	1	0	0
1583226103.777444	appActivated	Finder	2	2	0	0	187	0	0	0	0	0	0
1583226105.960455	appActivated	Photoshop	1	1	0	0	144	0	0	0	0	0	0
1583226154.407470	appActivated	Finder	6	6	1	1	1315	1	0	0	0	0	85
1583227055.232616	screenDidSleep	Finder	1	1	1	1	162	0	0	0	0	0	2
1583227055.609483	willSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227057.100114	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583227263.692735	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583227264.121640	appActivated	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227264.431826	didWake	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227476.181874	screenDidSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227476.243880	willSleep	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227477.890367	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583227491.356496	appActivated	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227491.802553	didWake	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227491.847741	screenDidWake	Finder	0	0	0	0	0	0	0	0	0	0	0
1583227517.827218	appActivated	Lightroom Classic	12	11	0	0	922	3	0	3	3	2	0
1583227914.371975	screenDidSleep	Lightroom Classic	41	42	0	0	3607	475	0	19	19	8	117
1583227914.639653	willSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583227916.092517	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583228047.653298	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583228048.150552	appActivated	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583228052.225841	didWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583228563.156154	willSleep	Lightroom Classic	12	12	0	0	1078	82	0	13	13	4	0
1583228563.167273	screenDidSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583228563.423258	didWake	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583228565.758995	screenDidWake	Lightroom Classic	0	0	0	0	22	0	0	0	0	0	0
1583229170.728826	appActivated	Finder	80	80	0	0	5304	3639	0	23	23	42	550
1583229179.164633	appActivated	Lightroom Classic	8	7	0	0	553	2	0	0	0	0	0
1583229223.730025	appActivated	Finder	10	11	0	0	806	2	0	0	0	0	33
1583229268.977653	appActivated	Lightroom Classic	12	11	3	3	1025	55	0	14	14	2	6
1583229275.894757	appActivated	Finder	6	7	0	0	432	1	0	0	0	0	0
1583229299.853730	appActivated	Lightroom Classic	6	5	0	0	484	55	0	8	8	0	0
1583229867.470352	screenDidSleep	Lightroom Classic	40	41	0	0	3413	1039	0	7	7	4	458
1583229867.558253	willSleep	Lightroom Classic	0	0	0	0	0	0	0	0	0	0	0
1583229869.193601	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230298.863984	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230303.052500	didWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230330.003159	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230359.511771	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230389.387429	screenDidSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230412.358080	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583230425.728592	appActivated	Lightroom Classic	1	1	0	0	0	0	0	0	0	0	0
1583230460.373249	appActivated	Photoshop	1	1	1	1	2054	126	24	2	2	0	36
1583230474.781956	appActivated	Finder	0	0	0	0	402	19	0	0	0	0	0
1583230485.429622	appActivated	Pages	0	0	0	0	1271	69	0	0	0	0	0
1583230495.555494	appActivated	Photoshop	0	0	0	0	1034	4	0	0	0	0	0
1583230497.417015	appActivated	Pages	0	0	0	0	321	4	0	0	0	0	0
1583230570.668110	appActivated	Photoshop	0	0	0	0	1526	0	0	0	0	0	132
1583230604.489488	appActivated	Pages	0	0	0	0	2864	367	0	2	2	0	0
1583230623.869781	appActivated	Photoshop	0	0	0	0	461	0	0	0	0	0	0
1583230627.735851	appActivated	Pages	0	0	0	0	393	7	0	0	0	0	0
1583230643.979912	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583231017.554303	appActivated	Pages	0	0	0	0	30085	15641	0	4	4	168	161
1583231025.669445	appActivated	Photoshop	0	0	0	0	645	0	0	0	0	0	0
1583231049.199870	appActivated	Pages	0	0	0	0	966	38	0	3	3	22	0
1583231058.850032	appActivated	Photoshop	0	0	0	0	639	5	0	0	0	0	0
1583231115.907905	appActivated	Pages	0	0	0	0	2149	705	0	14	14	14	0
1583231130.299429	appActivated	Photoshop	0	0	0	0	779	0	0	0	0	0	0
1583231177.082107	appActivated	Pages	0	0	0	0	1028	41	0	1	1	4	0
1583231199.523305	appActivated	Photoshop	0	0	0	0	871	1	0	0	0	0	0
1583231257.118170	appActivated	Pages	0	0	0	0	4538	261	0	0	0	0	0
1583231266.947798	appActivated	Photoshop	0	0	0	0	517	1	0	0	0	0	0
1583231275.850216	appActivated	Pages	0	0	0	0	1427	35	0	0	0	0	0
1583231304.444952	appActivated	Photoshop	0	0	0	0	528	0	0	0	0	0	0
1583231326.275572	appActivated	Pages	0	0	0	0	1555	131	0	1	1	0	0
1583231348.807412	appActivated	Photoshop	0	0	0	0	474	4	0	0	0	0	0
1583231361.868577	appActivated	Pages	0	0	0	0	1851	31	0	0	0	0	0
1583231380.879265	appActivated	Photoshop	0	0	0	0	678	0	0	0	0	0	0
1583231394.697027	appActivated	Pages	0	0	0	0	1535	40	0	0	0	0	0
1583231541.251919	appActivated	Photoshop	0	0	0	0	1415	0	0	0	0	0	173
1583232337.284400	appActivated	Lightroom Classic	0	0	7	7	45375	46052	28	27	27	86	265
1583232357.847222	appActivated	Photoshop	0	0	1	1	2186	26	10	0	0	0	0
1583232537.174000	screenDidSleep	Photoshop	0	0	0	0	57	0	0	0	0	0	0
1583232538.988656	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583232563.881124	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583232649.726980	screenDidWake	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583232650.251475	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583232650.406739	didWake	Photoshop	0	0	0	0	0	0	0	0	0	0	0
1583233058.127508	screenDidSleep	Photoshop	2	2	0	0	3750	2478	0	8	8	26	10
1583233059.850224	appActivated	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583233092.157572	willSleep	loginwindow	0	0	0	0	0	0	0	0	0	0	0
1583233175.319129	screenDidWake	loginwindow	1	1	0	0	0	0	0	0	0	0	0
1583233175.324810	appActivated	Photoshop	0	0	0	0	0	0	0	0	0	0	0
